wall_s,game_s,rounds,tracePoints,gridCells,worldChildren,vesicles,organelles,virusParticles,alive,heapMB,errors
5.7,1.3,0,8,315,1330,25,50,30,4,52.9,0
15.9,2.7,4,6,253,1366,0,50,0,3,124,0
26.1,5.9,8,8,283,1362,25,50,29,4,59.8,0
36.2,1.3,13,8,267,1378,25,50,30,4,85.4,0
46.2,5,17,8,281,1377,25,50,30,4,119.2,0
56.4,0,22,0,276,700,0,25,0,4,126.7,0
66.5,2.3,26,8,201,1349,25,50,30,4,124,0
76.8,6.8,30,12,305,1331,23,50,59,4,109.2,0
87.1,2.4,35,8,285,1373,23,50,30,4,60.6,0
97.2,7.2,39,8,309,1333,24,50,59,0,56.5,0
107.4,3.2,44,8,269,1376,25,50,30,4,50,0
117.6,6.4,48,8,262,1376,25,50,60,4,41.7,0
128.0,7.1,52,12,283,1341,25,50,58,4,92.7,0
138.8,1.1,56,8,211,1380,0,50,0,4,83.7,0
148.9,4.1,60,8,254,1360,25,50,30,4,121.8,0
159.0,7.3,64,12,259,1348,23,50,60,0,133,0
169.2,3.5,69,8,294,1370,25,50,30,4,158.3,0
179.5,6.2,73,8,266,1363,25,50,58,4,97.3,0
189.8,1.4,78,8,257,1345,0,50,0,4,115.8,0
199.8,1.6,82,8,295,1335,0,50,0,4,125,0
212.1,5.9,84,6,230,1362,25,50,30,3,65.9,0
224.1,0.8,88,8,120,1390,0,50,0,4,122.9,0
234.3,6.5,92,8,281,1358,25,50,59,4,166,0
244.5,1.7,97,6,271,1342,0,50,0,3,47.3,0
254.7,4.4,101,8,329,1353,25,50,29,4,164.8,0
264.9,6.5,105,8,317,1362,25,50,59,4,66.1,0
275.2,3,110,8,252,1358,25,50,30,4,83.5,0
285.3,6.5,114,8,267,1365,25,50,60,4,71.3,0
295.6,1.5,119,8,299,1369,23,50,30,4,125.7,0
305.7,5.5,123,8,252,1352,25,50,30,4,87.5,0
316.6,2,128,7,269,1325,25,50,30,4,162.6,0
326.8,6.1,132,8,284,1367,25,50,28,4,99.8,0
336.9,1.1,137,6,244,1357,0,50,0,3,80,0
347.1,4.3,141,8,297,1350,25,50,30,4,165.7,0
357.2,6.9,145,12,274,1373,25,50,60,4,72.2,0
367.5,0.4,150,4,140,685,0,25,0,4,106.8,0
377.6,2.2,154,6,233,1365,0,50,0,3,62.5,0
387.9,6.7,158,8,283,1358,25,50,57,4,80.7,0
398.2,2.6,163,8,241,1374,25,50,30,4,82.8,0
408.4,6.6,167,8,269,1360,25,50,60,4,67.8,0
418.8,2.6,172,8,215,1340,0,50,0,4,82.5,0
428.8,6.4,176,8,280,1372,25,50,30,4,45.2,0
439.1,0.9,181,8,205,1376,0,50,0,4,125.9,0
449.2,4.4,185,6,240,1349,25,50,25,3,50.7,0
459.4,6.5,189,8,284,1336,25,50,60,4,135.2,0
