wall_s,game_s,rounds,tracePoints,gridCells,worldChildren,vesicles,organelles,virusParticles,alive,heapMB,errors
6.4,1.3,0,8,280,1351,23,50,30,4,48.2,0
16.8,24.8,0,210,315,1348,26,47,39,4,53.5,0
27.2,48.5,0,456,359,1341,49,40,32,4,94.2,0
37.4,73.7,0,714,444,1331,99,33,30,4,42.5,0
47.8,99.7,0,942,469,1325,98,27,50,4,83.4,0
58.0,124.3,0,1023,640,1356,25,34,30,4,46.1,0
68.1,145.6,0,1178,651,1354,25,32,58,4,75.3,0
78.4,165.9,0,1380,647,1354,42,32,55,4,131.8,0
88.6,186.8,0,1589,616,1349,46,30,53,4,66.8,0
98.9,208.1,0,1802,606,1347,39,28,50,4,88.2,0
109.2,230.3,0,1748,554,1345,43,26,48,4,86.8,0
119.5,254.9,0,1754,651,1322,21,32,52,4,100,0
129.7,275.6,0,1960,643,1319,32,29,47,4,119.4,0
140.2,296.7,0,2171,655,1315,66,27,43,4,159.7,0
150.4,319.8,0,2377,682,1314,39,27,37,4,108,0
160.7,343.4,0,2609,698,1312,47,25,34,4,96.1,0
171.1,370.4,0,2607,5863,1342,26,36,56,4,109.8,0
181.4,392.7,0,2840,5835,1340,29,34,44,4,224.8,0
191.7,413.5,0,3008,5784,1338,34,32,41,4,165.2,0
202.0,435.4,0,3303,5775,1334,38,31,37,4,158,0
212.4,457.6,0,3613,5773,1331,49,28,35,4,127.3,0
222.8,479.4,0,3906,5777,1328,63,25,35,4,125.4,0
233.1,500.6,0,4058,5891,1331,23,34,60,4,165.7,0
243.6,518.2,0,4108,5735,1327,36,30,58,4,256,0
253.9,536.2,0,4284,5721,1324,52,28,57,4,191,0
264.4,553.4,0,4456,5745,1321,60,27,57,4,147.3,0
274.8,570.6,0,4628,5710,1320,47,26,57,4,263.4,0
285.5,588.6,0,4805,5678,1319,48,25,57,4,103.7,0
295.8,608.9,0,4953,10661,1341,25,33,30,4,103.2,0
305.9,630.4,0,5112,10667,1341,25,33,52,4,283.6,0
317.8,653.7,0,4802,10537,1336,41,30,41,4,257.5,0
328.2,674.3,0,4986,10543,1333,39,28,41,4,193,0
338.4,694.7,0,5188,10551,1332,38,27,38,4,125.1,0
348.6,714.3,0,5211,10544,1330,45,25,38,4,290.7,0
358.8,736.1,0,5017,15655,1350,28,31,59,4,271.4,0
368.9,758.5,0,5300,15670,1350,25,31,48,4,273.3,0
379.4,781.1,0,5579,15673,1347,43,29,38,4,333.3,0
390.0,807.7,0,5858,15720,1345,41,29,60,4,203,0
400.3,830.9,0,6146,15723,1343,43,27,55,4,264.7,0
410.7,856.6,0,6393,15876,1325,23,33,59,4,142.6,0
421.1,876.7,0,6628,15887,1325,25,33,49,4,122.6,0
431.4,897.9,0,6887,15865,1322,40,31,40,4,318.8,0
441.7,918.5,0,7090,15854,1316,51,27,36,4,316.1,0
451.8,939,0,7342,15857,1315,48,26,33,4,339.9,0
462.2,959.3,0,7578,15858,1314,52,25,33,4,386.2,0
472.6,980.5,0,7739,15901,1346,25,32,58,4,178,0
483.0,998.6,0,7859,15902,1346,25,32,50,4,403.7,0
493.5,1016.2,0,8059,15895,1345,30,31,44,4,354,0
503.9,1033.7,0,8261,15906,1340,81,29,41,4,310.2,0
514.3,1051.3,0,8466,15878,1338,54,27,39,4,391.2,0
524.5,1068.5,0,8627,15850,1337,50,26,38,4,391.7,0
534.6,1086.3,0,8838,15902,1312,0,31,1,4,151.5,0
544.9,1108.4,0,9010,15940,1311,25,30,47,4,148.3,0
555.3,1129.7,0,9212,15943,1310,30,29,39,4,168.1,0
565.6,1150.9,0,9344,15953,1306,55,26,35,4,165.2,0
575.7,1172.2,0,9582,15957,1304,40,26,34,4,202.3,0
586.2,1195.1,0,9838,15950,1303,44,25,31,4,302.6,0
596.6,1218.7,0,9989,16094,1325,19,30,57,4,393.7,0
606.8,1237.6,0,10197,16109,1324,27,29,54,4,383.7,0
618.5,1258.2,0,10312,16107,1320,45,27,47,4,365,0
629.2,1277,0,10233,16048,1319,34,27,43,4,382.9,0
639.6,1295.1,0,10310,16016,1318,35,26,41,4,298.9,0
650.2,1312.9,0,10459,16010,1318,33,26,41,4,244.1,0
660.7,1334.3,0,10624,16166,1314,24,32,60,4,279.5,0
671.2,1353.6,0,10817,16173,1314,25,32,60,4,241.6,0
681.6,1373.9,0,11028,16177,1311,52,31,59,4,251.8,0
691.8,1396.1,0,10975,16166,1307,48,28,59,4,256.6,0
702.4,1414.9,0,11164,16162,1306,35,27,59,4,502.5,0
712.7,1435.1,0,11368,16190,1304,43,25,56,4,453.8,0
723.0,1459.5,0,11519,21132,1352,22,32,57,4,235.8,0
733.5,1479.5,0,11726,21140,1350,30,30,50,4,281.1,0
743.9,1500.1,0,11836,21131,1348,29,30,43,4,299.5,0
754.1,1519.9,0,12005,21101,1345,34,28,39,4,298,0
764.6,1541.9,0,12183,21110,1342,44,25,38,4,350.2,0
775.0,1561.1,0,11784,21079,1342,42,25,38,4,324,0
785.5,1584.5,0,11963,26203,1353,26,34,54,4,397.5,0
795.7,1605,0,12183,26200,1351,34,32,41,4,372.6,0
806.3,1623.9,0,12384,26189,1346,55,30,35,4,355,0
816.7,1642.7,0,12588,26174,1346,40,30,31,4,361.3,0
827.2,1661.3,0,12795,26182,1344,47,28,30,4,417.5,0
