wall_s,game_s,rounds,tracePoints,gridCells,worldChildren,vesicles,organelles,virusParticles,alive,heapMB,errors
8.5,1.3,0,8,294,1359,25,50,30,4,42.2,0
18.9,0.4,2,4,134,698,0,25,0,4,99.4,0
29.2,3.2,4,8,275,1358,25,50,30,4,109.3,0
39.4,4.8,6,8,253,1343,25,50,29,4,41.8,0
49.6,4.8,8,8,270,1346,25,50,30,4,114.3,0
59.9,7.2,10,15,278,1345,24,50,53,3,57.2,0
70.2,5.5,12,8,315,1362,25,50,29,4,53.6,0
80.4,6.2,14,7,278,1331,25,50,30,4,90.7,0
90.5,5.2,16,8,237,1343,25,50,29,4,91.1,0
100.7,6,18,8,268,1342,25,50,30,4,97.7,0
111.2,8.3,20,24,288,1372,20,50,60,4,56.9,0
121.9,8.7,22,15,303,1357,24,50,54,2,85.2,0
132.4,0.4,25,4,96,712,0,25,0,4,62.6,0
142.7,0.4,27,4,133,704,0,25,0,4,78.5,0
153.0,1.6,29,8,232,1348,0,50,0,4,60.2,0
163.3,4.4,31,8,310,1358,25,50,30,4,46.8,0
173.5,4.4,33,8,327,1344,25,50,30,4,79,0
183.7,3.2,35,4,262,1346,0,50,0,2,78,0
193.9,4.4,37,8,273,1387,24,50,29,4,90.3,0
204.2,4.4,39,6,270,1316,25,50,29,3,53.7,0
214.6,7.4,41,15,277,1369,22,50,60,4,66.9,0
225.4,7.9,43,20,306,1334,23,50,57,4,46.2,0
236.0,9.6,45,27,272,1347,23,50,58,2,48.3,0
246.5,0.8,48,8,130,1368,0,50,0,4,51.8,0
256.7,0.8,50,6,107,1354,0,50,0,3,80.1,0
267.1,2,52,8,241,1357,0,50,0,4,87,0
277.3,1.6,54,8,307,1344,25,50,30,4,85.9,0
287.6,2.1,56,8,218,1366,0,50,0,4,44.1,0
297.7,7.2,58,12,288,1374,25,50,59,4,62.6,0
307.9,7.2,60,12,282,1386,25,50,55,4,89.8,0
